,ITEM_NM,RATE,CONTENT,TAG,WRITE_DT
38,,5,아무래도 냉동으로 오니 여름철에는 조금 녹일 때 세네시간 지나면 부풀어 올라서 뭔가 불편한 부분이 있네요.ㅜㅜ,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240604
39,,5,좋은제품 빠른배송 감사합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240604
40,,5,맛있어서 또 주문 햇어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240603
41,,5,엄마 보내드림 저도주문했구오ㅡ,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240602
42,,5,냉동실 쟁여템^^ 하나만 먹얻도 든든!! 넘 맛있어요 👍 👍,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240602
43,,5,몇 번째 재구매하는지 모르겠어요. 우리 집 냉장고에 동쑥이가 가득찼어요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240602
44,,5,소도 넉넉하고 맛있어서 잘먹었습니다.,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240531
45,,5,자연해동해서 먹으니까 정말 맛있어요~~,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240530
46,,5,오자마자 먹어보니 건강한맛이네요 하나도 달지않고 단거좋아하는 신랑은 좀 섭섭하다네요 포장깔끔하고 좋아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240530
47,,5,아침으로 먹으려고 주문했어요 맛있어요~~,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240530
48,,5,아침으로 먹으려고 시켰는데 크기고 생각보다 크고 맛있어요~,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240530
49,,5,남자친구 부모님께 드렸어요 아침식사 대용으로 좋으셨다네요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240530
50,,5,보기에는 달달하게보였는데 적당한단맛과콩코물이마니있구요 촉촉해서 목넘김이좋고 먹고나서 속도편하네요 잘먹겠습니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240529
51,,5,상품도 좋고 배송도 빠르고 좋아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240529
52,,5,캐릭터가 눈에 너무 귀엽네요 커피랑도 너무 잘 어울려요 잘먹었어요 다먹고 또 주문할께요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240529
53,,5,달지 않고 맛있어요…,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240529
54,,5,소문대로 정말 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240529
55,,5,맛있어서 또 구매했어요 금방 먹네요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240527
56,,5,빠른배송 감사합니다 아이스팩 위아래로 두개씩 완벽한 포장 너무 너무너무 맛있어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240526
57,,5,선물했는데 맛있다고 하세요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240525
58,,5,해동해 먹으면 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240525
59,,5,냉동실에두고 틈틈히 먹으려 했는데 금방 동나요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240524
60,,5,선물로한번 먹고는 너무맛있어서 적접주문했습니다 너무맛있고 포장도꼼꼼하게보내주셔서감사합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240522
61,,5,지인이 줘서 먹어보고 맛있어 구매했는데 제주도라 녹을까봐 걱정어요. 다행히 오늘 퇴근하고 확인 해보니 녹지않아서...^^ 아껴먹고 초가을 되면 구매해야할듯,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240522
62,,5,배송도 빠르고 포장도 잘되어서 왔어요! 너무 맛있네요!!! 조만간 또 구매해서 먹을게여~~~ 감사해여~~~~~,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240521
63,,4,맛있어요 고물 듬뿍듬뿍 묻혀주세요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240521
64,,4,이번것은 동부고물이 덜 묻혀있는것같아 아쉽네요 사실 동부고물때문에 먹는건데,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240521
65,,5,"맛,포장,보관방법 전부 만족합니다~~^^","유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240520
66,,5,맛있어서 선물로 보냈는데 맛있다고 하시네요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240519
67,,5,달지않고 하나만 먹어도 든든해요~회사언니 하나 드렸더니 바로 주문넣었더라구요!!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240519
68,,5,너무너무너무 맛있어요~~~~,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240519
